time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,queue-master_error,shipping_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693160998,0.8538238171726139,0.3058277568084103,0.7891613526094132,0.3326517332820081,5.86398175367785,0.7848761384826973,0.2117672728609596,0.5641381417593209,1.2652435174397436,0.6047320485989467,0.00004561049933679521,0.14559667726342398,0.9384886291816823,0.4589994815996628,0.24169204309578085,207568896,79781888,11689984,425709568,214925312,329437184,39796736,10731520,300793856,90841088,4534272,2949120,302997504,322805760,46301184,2,17.94,50,2,2,2,2,2,0,8,0,0,0,0,0.009098639455782315,0.0030322182759550164,0.009695627421970597,0.03125,0.002185185185185185,0.0030168067226890756,0.0030181818181818183,0.32462676923822276,0.02488095238095238,0.0046579928967190294,0.08824813897503586,0.8983333333333332,0.00451604938271605,0.004630252100840336,0.004734545454545455,1.9985511589315896
1693160999,0.8538238171726139,0.3058277568084103,0.7957819856034409,0.3326517332820081,6.063331879848898,0.7848761384826973,0.2117672728609596,0.5641381417593209,1.2652435174397436,0.687091405013195,0.000056413728307724435,0.14559667726342398,0.919699691882003,0.45123467884690927,0.24169204309578085,207568896,79781888,11694080,425709568,214925312,329437184,39796736,10731520,300793856,90841088,4534272,2949120,302997504,322990080,46301184,2,12,38,2,2,2,2,2,0,12,0,0,0,0,0.009098639455782315,0.0030322180916976453,0.009696631857944343,0.03125,0.002185185185185185,0.0030168067226890756,0.0030181818181818183,0.32043141746299086,0.02488095238095238,0.004657992565055762,0.0882490430921992,0.8983333333333332,0.00451604938271605,0.004630252100840336,0.004734545454545455,1.9882718432203952
1693161000,0.8538238171726139,0.3058277568084103,0.7957819856034409,0.3326517332820081,6.262682006019945,0.7848761384826973,0.2117672728609596,0.5641381417593209,0.4517562372580605,0.687091405013195,0.000056413728307724435,0.14559667726342398,1.435673863061084,0.4603411826532909,0.24169204309578085,207568896,79781888,11694080,425709568,214925312,329437184,39796736,10731520,300793856,90841088,4534272,2949120,303071232,322990080,46301184,2,22,44,2,2,2,2,2,0,2,0,0,0,0,0.009098639455782315,0.0030322180916976453,0.009697559630632999,0.03125,0.002185185185185185,0.0030168067226890756,0.0030181818181818183,0.3204308555304418,0.02488095238095238,0.004657992565055762,0.08824987006377423,0.8983333333333332,0.00451604938271605,0.004630252100840336,0.004734545454545455,1.9882706068011016
1693161001,0.8538238171726139,0.3058277568084103,0.7957819856034409,0.3326517332820081,6.462032132190995,0.7848761384826973,0.2193875601580494,0.5641381417593209,0.4517562372580605,0.687091405013195,0.000056413728307724435,0.14559667726342398,1.435673863061084,0.46944768645967244,0.24169204309578085,207568896,79781888,11694080,425709568,214925312,329437184,39817216,10731520,300793856,90841088,4534272,2949120,303071232,322990080,46301184,2,26,54,2,2,2,2,2,0,8,0,0,0,0,0.008574074074074073,0.0030310478654592497,0.005320706104377212,0.004566666666666667,0.002185185185185185,0.0030168067226890756,0.0030181818181818183,0.3017452067929306,0.024745283018867924,0.00465588615782665,0.06548723683266686,0.7944444444444446,0.00451604938271605,0.004630252100840336,0.004734545454545455,1.9967546892887316
1693161002,0.8538238171726139,0.3058277568084103,0.7957819856034409,0.31122944211302783,5.479472396486577,0.7848761384826973,0.2193875601580494,0.5641381417593209,0.4517562372580605,0.687091405013195,0.000056413728307724435,0.14559667726342398,1.435673863061084,0.47855419026605406,0.24169204309578085,207568896,79781888,11694080,425709568,211931136,329437184,39817216,10731520,300793856,90841088,4534272,2949120,303071232,322990080,46301184,1.988,13.952,45.635,1.965,2,1.873,1.767,1.776,0,11.905,0,0,0,0,0.008183974229897717,0.003024301051133101,0.0074411633017453785,0.00416633335574079,0.002422221873470709,0.0030168067226890756,0.0029800855350310337,0.30473027252502755,0.02479741428103451,0.004643741892039582,0.06188870113384016,0.4749535612822968,0.00455555381179799,0.004630252100840337,0.004676126850064891,2.025968438951252
1693161003,0.8538238171726139,0.3058277568084103,0.7957819856034409,0.31744731565186646,5.643359552726173,0.7446006170633103,0.2193875601580494,0.5641381417593209,0.4517562372580605,0.687091405013195,0.000056413728307724435,0.14559667726342398,1.435673863061084,0.48766069407243556,0.24169204309578085,207568896,79781888,11694080,425709568,211931136,329621504,39817216,10731520,300793856,90841088,4534272,2949120,303071232,322990080,46301184,2.041,18.444,38.384,2.041,0,2.041,2.041,1.984,0,6.061,0,0,0,0,0.008184182718834044,0.0030243064714528187,0.007441588272537208,0.004166950946947418,0.0024723252647093734,0.003016806722689076,0.0030328034356343543,0.26711310218598405,0.024797691584017952,0.004643751648615074,0.0618897986441485,0.47503958653595785,0.004583495257241713,0.004630252100840337,0.004694016935874082,2.055790686321985
1693161004,0.8538238171726139,0.3058277568084103,0.7957819856034409,0.37307241233031657,5.807246708965767,0.7446006170633103,0.2193875601580494,0.44846901700610403,0.4517562372580605,0.687091405013195,0.000056413728307724435,0.14559667726342398,1.435673863061084,0.4967671978788172,0.2078699271316718,207568896,79781888,11694080,425709568,211931136,329621504,39817216,10731520,300793856,90841088,4534272,2949120,303071232,322990080,46301184,2.008,14,36,2,2.016,2,2.278,2,0,2,0,0,0,0,0.008184422470107434,0.0030243013365735118,0.0074417180809613955,0.004167019607843137,0.0024723271077314087,0.003016806722689076,0.003032757089952568,0.26065652096149317,0.024797818696393477,0.00464374240583232,0.06189006304307566,0.4750491447965325,0.004583498153419198,0.004630252100840337,0.00469393890659893,2.0427267915950185
1693161005,0.3872214659118791,0.3058277568084103,0.7957819856034409,0.37307241233031657,5.971133865205363,0.7446006170633103,0.2193875601580494,0.45778378909529316,0.4517562372580605,0.687091405013195,0.000056413728307724435,0.14559667726342398,1.435673863061084,0.5058737016851987,0.2038417264134088,207568896,79781888,11694080,425709568,211931136,329621504,39817216,10731520,300793856,90841088,4534272,2949120,303071232,322990080,46301184,2.012,10,38,2.174,2,2.119,2,2,0,6,0,0,0,0,0.008184210526315789,0.0030243013365735118,0.007442022279431466,0.004166666666666667,0.0024722222222222224,0.0030168067226890756,0.0030327868852459013,0.2606401249628209,0.024797619047619048,0.00464374240583232,0.06189082185679072,0.4750000000000001,0.004583333333333334,0.004630252100840336,0.004693989071038251,2.0426936523378476
1693161006,0.3872214659118791,0.3058277568084103,0.8382245402990219,0.37307241233031657,6.135021021444959,0.7446006170633103,0.2193875601580494,0.46709856118448245,0.4517562372580605,0.687091405013195,0.000056413728307724435,0.14559667726342398,1.435673863061084,0.5149802054915804,0.2352191036793945,207568896,79781888,11694080,425709568,211931136,329621504,39817216,10731520,300793856,90841088,4534272,2949120,303071232,322990080,46325760,2,2,20,2,2,2,2,2,0,6,0,0,0,0,0.006613924050632912,0.003017811704834605,0.0046387635761869815,0.0038666666666666667,0.0024722222222222224,0.0030168067226890756,0.0030327868852459013,0.21704438472686433,0.02380357142857143,0.00463206106870229,0.04891515489189915,0.3615384615384616,0.004583333333333334,0.004630252100840336,0.004693989071038251,1.8497348871534336
1693161007,0.3872214659118791,0.3058277568084103,0.8382245402990219,0.37307241233031657,6.298908177684556,0.7446006170633102,0.2193875601580494,0.4764133332736717,0.4517562372580605,0.687091405013195,0.000056413728307724435,0.14559667726342398,1.435673863061084,0.524086709297962,0.2352191036793945,207568896,79781888,11694080,425709568,211931136,329621504,39817216,10731520,300793856,90841088,4534272,2949120,303071232,322990080,46325760,2,18,48,2,2,2,2,2,0,8,0,0,0,0,0.004587301587301587,0.0030200250312891115,0.005311121379672521,0.003588235294117647,0.00271875,0.0030168067226890756,0.0029764705882352944,0.21272345450171928,0.02206818181818182,0.0046360450563204,0.04894398939856237,0.21624999999999983,0.004643749999999999,0.004630252100840336,0.004595294117647059,1.8473174372473942
