time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,catalogue_error,orders_error,queue-master_error,shipping_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693117321,11.715391896452378,3.108638920850547,0.8588644690315956,0.4512578169192657,10.545206053642966,10.30579254164364,0.32827438555760147,0.6321255016525021,2.563122453018919,1.1108239010431087,0,0.30540937455545547,6.622257570446272,2.800471420935779,1.084544928426324,209559552,70811648,10219520,424861696,108978176,327438336,38219776,8339456,288354304,92844032,4636672,2953216,301158400,13197312,36110336,38,18,48,6,6,2,8,66,0,,0,0,0,0,0.008252469668116028,0.0030849492151431212,0.030808656036446468,0.017855153203342616,0.0015746478873239433,0.0030168067226890756,0.003439121756487026,0.0032060726729716276,0.021389915966386553,0.0047529085872576185,0.07268858800773695,0.06791666666666658,0.004314929577464788,0.004630252100840336,0.008304054054054055,0.004970930811348928
1693117322,11.715391896452378,2.672039219525201,0.8588644690315956,0.4512578169192657,10.241620437075325,10.30579254164364,0.32827438555760147,0.6321255016525021,2.563122453018919,1.1391816758941293,0.00005010427229417498,0.30540937455545547,6.622257570446272,2.800471420935779,1.084544928426324,209559552,70811648,10219520,424861696,108978176,327438336,38219776,8339456,288354304,92844032,4636672,2953216,301158400,13197312,36110336,40,18,40,2,2,2,2,28,0,,0,0,0,0,0.008252469668116028,0.0030849492151431212,0.030808656036446468,0.017855153203342616,0.0015746478873239433,0.0030168067226890756,0.003439121756487026,0.00319895783988631,0.021389915966386553,0.0047529085872576185,0.07268858800773695,0.06791666666666658,0.004314929577464788,0.004630252100840336,0.008304054054054055,0.004958124111795358
1693117323,11.715391896452378,2.620228570844359,0.8588644690315956,0.4512578169192657,10.241620437075325,10.30579254164364,0.32827438555760147,0.6321255016525021,2.563122453018919,1.1391816758941293,0.00005010427229417498,0.30540937455545547,6.622257570446272,2.800471420935779,1.084544928426324,209559552,70811648,10219520,424861696,108978176,327438336,38219776,8339456,288354304,92844032,4636672,2953216,301158400,13197312,36110336,26,6,40,4,4,2,4,34,0,,0,0,0,0,0.008262679217142197,0.003089407191448008,0.030808656036446468,0.018086956521739132,0.0015161290322580644,0.0030168067226890756,0.0034317718940936864,0.003193225190839695,0.0214252100840336,0.004760932944606414,0.07268858800773695,0.07041666666666672,0.004303225806451613,0.004630252100840336,0.008307142857142862,0.00494780534351145
1693117324,11.715391896452378,2.568417922163516,0.8588644690315956,0.4512578169192657,10.241620437075325,10.30579254164364,0.32827438555760147,0.6321255016525021,2.563122453018919,1.1391816758941293,0.00005010427229417498,0.30540937455545547,6.622257570446272,2.6691124413899416,1.0665824181840657,209559552,70811648,10219520,424861696,108978176,327438336,38219776,8339456,288354304,92844032,4636672,2953216,301158400,13197312,36253696,30,26,74,6,6,2,6,56,0,,0,0,0,0,0.00819598908381964,0.003081316553727009,0.03075331125827815,0.01795258620689655,0.0016034482758620692,0.0030168067226890756,0.00342603550295858,0.003198836081474297,0.02118109540636042,0.004746369796708615,0.07240860215053765,0.06797872340425527,0.004320689655172414,0.004630252100840336,0.00827464788732394,0.0049579049466537345
1693117325,10.003292903923915,2.516607273482674,0.8588644690315956,0.4512578169192657,8.815617035940877,10.30579254164364,0.32827438555760147,0.6321255016525021,2.563122453018919,1.1391816758941293,0.00005010427229417498,0.30540937455545547,6.622257570446272,2.6691124413899416,1.0665824181840657,209559552,70811648,10219520,424861696,108978176,327438336,38219776,8339456,288354304,92844032,4636672,2953216,301158400,13197312,36253696,28,14,36,14,14,2,14,90,0,,0,0,0,0,0.008193402858617294,0.0030885122410546136,0.030652257077276205,0.018064066852367687,0.0015474860335195535,0.0030168067226890756,0.00342603550295858,0.003196032120925839,0.021071183533447693,0.004759322033898304,0.07229330708661416,0.06617021276595748,0.004309497206703912,0.004630252100840336,0.00827464788732394,0.004952857817666511
1693117326,10.003292903923915,3.1495891766930213,0.8588644690315956,0.4512578169192657,8.644923361989623,10.30579254164364,0.32827438555760147,0.6321255016525021,2.563122453018919,1.1488737749443583,0.00005010427229417498,0.30540937455545547,6.622257570446272,2.6691124413899416,1.0665824181840657,209559552,71135232,10219520,424861696,108978176,327438336,38219776,8339456,288354304,92942336,4636672,2953216,301158400,13197312,36253696,44,30,76,12,12,2,12,90,0,,0,0,0,0,0.008193402858617294,0.0030885122410546136,0.030652257077276205,0.018064066852367687,0.0015474860335195535,0.0030168067226890756,0.0034210526315789475,0.003199950992403822,0.021071183533447693,0.004759322033898304,0.07229330708661416,0.06617021276595748,0.004309497206703912,0.004630252100840336,0.008232394366197184,0.00495991178632688
1693117327,10.003292903923915,3.1495891766930213,0.8588644690315956,0.4512578169192657,8.474229688038367,10.30579254164364,0.32827438555760147,0.6321255016525021,2.563122453018919,1.1488737749443583,0.00005010427229417498,0.30540937455545547,6.622257570446272,2.6691124413899416,1.0665824181840657,209559552,71135232,10219520,424861696,108978176,327438336,38219776,8339456,288354304,92942336,4636672,2953216,301158400,13197312,36253696,58,30,60,20,22,2,22,140,0,,0,0,0,0,0.008193402858617294,0.0030885122410546136,0.030652257077276205,0.018064066852367687,0.0015474860335195535,0.0030168067226890756,0.0034210526315789475,0.0031927597555242125,0.021071183533447693,0.004759322033898304,0.07229330708661416,0.06617021276595748,0.004309497206703912,0.004630252100840336,0.008232394366197184,0.004946967559943582
1693117328,9.571407386420526,2.5329567018653063,0.8588644690315956,0.4512578169192657,8.303536014087111,10.30579254164364,0.32827438555760147,0.6321255016525021,2.563122453018919,1.1488737749443583,0.00005010427229417498,0.2594893783722952,6.622257570446272,2.6691124413899416,1.019572925869602,203694080,71135232,10219520,424861696,108978176,327438336,38219776,8339456,288354304,92942336,4636672,2953216,301158400,13197312,36253696,40,22,60,6,6,2,6,78,0,,0,0,0,0,0.008199521871363816,0.0030911788484770685,0.030652257077276205,0.01818775965802146,0.0014829462663176673,0.0030168067226890756,0.0034141793259019975,0.00318636185638052,0.021084089584792326,0.004764121927258723,0.07229330708661419,0.06511948361692259,0.004296589253263533,0.004630252100840337,0.008237882772825278,0.004935451341484937
1693117329,9.571407386420526,2.5842330319962885,0.8588644690315956,0.44578568394844764,10.300965223448905,10.30579254164364,0.32827438555760147,0.5077691288288715,1.981598046995054,1.1488737749443583,0.00005010427229417498,0.25439922212970423,6.622257570446272,2.6691124413899416,1.019572925869602,203694080,71135232,10219520,424861696,107360256,327438336,38219776,8339456,288354304,92942336,4636672,2953216,301158400,13197312,36253696,50,18,54,20,20,2,22,136,0,,0,0,0,0,0.008110442941941404,0.0030835762876579203,0.030727009113504556,0.017983193277310926,0.0016062322946175636,0.0030168067226890756,0.003406130268199233,0.0031975845410628016,0.020699453551912564,0.004750437317784256,0.07195414847161574,0.06463414634146337,0.004321246458923513,0.004630252100840336,0.008130434782608687,0.0049556521739130424
1693117330,9.571407386420526,2.6355093621272716,0.8584780970007264,0.44578568394844764,10.300965223448905,10.30579254164364,0.32827438555760147,0.6132786015748033,1.981598046995054,1.1488737749443583,0.00007806128532251233,0.2486515286108124,2.740976537269079,2.222859083793222,1.019572925869602,203694080,71135232,10231808,424861696,107360256,327438336,38219776,8339456,288354304,92942336,4636672,2953216,301158400,13197312,36253696,38,10,36,18,18,2,18,108,0,,0,0,0,0,0.00806930977150515,0.003081860465116279,0.03079916476841306,0.018096816976127323,0.0014958677685950415,0.0030168067226890756,0.003406130268199233,0.0031939846117976217,0.020340425531914896,0.004747348837209302,0.07256385068762278,0.06546511627906981,0.004299173553719008,0.004630252100840336,0.008130434782608687,0.0049491723012357195
