time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,orders_error,payment_error,queue-master_error,shipping_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693146578,2.443374028922823,7.310436428764917,0.8902223720034543,0.42769338359819065,8.189570298222918,3.68873818425828,0.22665887497270867,0.8271654890431567,0.8685725176532098,1.1059105648074774,0,0.2880324141342313,1.3071381819007977,2.582610723776768,1.0324225496080772,208367616,82219008,10973184,424951808,110956544,330510336,42483712,21512192,283656192,93450240,4136960,2899968,300191744,18079744,48369664,10,16,34,10,10,2,10,54,0,0,0,0,0,0.010133267522211255,0.0030339943342776203,0.03058206106870229,0.018022727272727274,0.0029099099099099096,0.003,0.003,0.0031900296150049363,0.02225172754195459,0.004661189801699717,0.07219767441860467,1.4767857142857141,1.4714285714285658,0.0046,0.004661431064572426,0.004942053307008885
1693146579,3.1011620793716412,7.165396720240326,0.8902223720034543,0.42769338359819065,8.35153955010372,3.68873818425828,0.22199096606240679,0.8271654890431567,0.8685725176532098,1.1059105648074774,0,0.2379087733995806,1.3071381819007977,2.582610723776768,1.0324225496080772,208646144,82219008,10973184,424951808,110956544,330510336,42483712,21512192,283656192,93450240,4136960,2899968,300191744,18079744,48369664,44,24,56,22,24,2,22,134,0,0,0,0,0,0.010133267522211255,0.0030339943342776203,0.03058206106870229,0.018022727272727274,0.0029099099099099096,0.003,0.003,0.0031900296150049363,0.02225172754195459,0.004661189801699717,0.07219767441860467,1.4767857142857141,1.4714285714285658,0.0046,0.004661431064572426,0.004942053307008885
1693146580,3.1011620793716412,7.0203570117157374,0.8902223720034543,0.43101861548013276,8.513508801984516,3.68873818425828,0.29622509086461185,0.8271654890431567,0.8685725176532098,1.1059105648074774,0,0.23310823316401008,1.3071381819007977,2.582610723776768,1.0324225496080772,208646144,82219008,10973184,424951808,110956544,330510336,42606592,21512192,283656192,93450240,4136960,2899968,300191744,18079744,48369664,48,16,54,14,14,2,14,108,0,0,0,0,0,0.010175531914893619,0.003034623217922607,0.030643503289473684,0.017477064220183487,0.0022900432900432905,0.003,0.0029999999999999996,0.0031855828220858896,0.022277659574468086,0.004662321792260693,0.07135572139303484,1.1090909090909085,0.9550000000000002,0.0046,0.004663423423423423,0.004934049079754601
1693146581,3.1011620793716412,8.551561079750183,0.8902223720034543,0.43101861548013276,9.718155112847962,3.68873818425828,0.29622509086461185,0.8271654890431567,0.8685725176532098,1.1059105648074774,0,0.2955050772371817,1.1372119702117491,2.582610723776768,1.0461269912343034,208646144,82681856,10973184,424951808,110956544,330510336,42606592,21512192,283656192,93450240,4136960,2899968,300191744,18079744,48369664,36,26,64,14,12,2,14,92,0,0,0,0,0,0.009927272727272726,0.0030396600566572236,0.030672348484848483,0.017326478149100256,0.0023046875000000003,0.003,0.0030101010101010106,0.0031982947624847745,0.022192,0.004671388101983002,0.07108447488584474,0.7583333333333379,0.901666666666667,0.0046,0.004677441077441079,0.004956930572472594
1693146582,3.1011620793716403,8.551561079750183,0.8902223720034543,0.3493579852892159,8.506868062657405,3.94246525342302,0.29622509086461185,0.8271654890431567,0.8685725176532098,1.1059105648074774,0,0.2955050772371817,1.1149493819055192,2.5502862726434463,1.0461269912343034,208646144,82681856,10973184,424951808,110956544,330510336,42606592,21512192,283656192,93450240,4136960,2899968,300191744,18079744,48369664,24,12,32,6,8,2,6,22,0,0,0,0,0,0.009927272727272726,0.0030396600566572236,0.030672348484848483,0.017326478149100256,0.0023046875000000003,0.003,0.0030101010101010106,0.0032059648228396635,0.022192,0.004671388101983002,0.07108447488584474,0.7583333333333379,0.901666666666667,0.0046,0.004677441077441079,0.004970736681111395
1693146583,3.1011620793716403,8.551561079750183,0.8902223720034543,0.3567294955394473,9.574524030772354,3.94246525342302,0.3046609743176805,0.8271654890431567,0.8685725176532098,1.1059105648074774,0,0.2955050772371817,1.0926867935992897,2.5502862726434463,1.0461269912343034,208646144,82681856,10973184,424951808,107839488,330510336,42606592,21512192,283656192,93450240,4136960,2899968,300191744,18079744,48369664,38,20,42,12,14,2,14,102,0,0,0,0,0,0.009927272727272726,0.0030396600566572236,0.030672348484848483,0.017326478149100256,0.0023046875000000003,0.003,0.0030101010101010106,0.003198787878787878,0.022192,0.004671388101983002,0.07108447488584474,0.7583333333333379,0.901666666666667,0.0046,0.004677441077441079,0.004957818181818181
1693146584,3.1011620793716403,8.551561079750183,0.8902223720034543,0.36410100578967874,9.574524030772354,3.94246525342302,0.3046609743176805,0.8271654890431567,0.8685725176532098,1.1059105648074774,0,0.2955050772371817,1.07042420529306,2.5502862726434463,1.0461269912343034,208646144,82681856,10973184,424951808,107839488,330510336,42606592,21512192,283656192,93450240,4136960,2899968,300191744,18079744,48369664,18,16,42,14,18,2,16,92,0,0,0,0,0,0.009927272727272726,0.0030396600566572236,0.030672348484848483,0.017326478149100256,0.0023046875000000003,0.003,0.0030101010101010106,0.003198787878787878,0.022192,0.004671388101983002,0.07108447488584474,0.7583333333333379,0.901666666666667,0.0046,0.004677441077441079,0.004957818181818181
1693146585,3.1011620793716403,8.551561079750183,0.9149538132860384,0.3714725160399101,9.574524030772354,3.94246525342302,0.3046609743176805,0.8271654890431567,0.8685725176532098,1.1059105648074774,0,0.2955050772371817,2.3994434650077845,2.6189104983453437,1.0461269912343034,208646144,82681856,10977280,424951808,107839488,330510336,42606592,21512192,283656192,93450240,4136960,2899968,300617728,18096128,48369664,30,18,48,4,2,2,4,42,0,0,0,0,0,0.009966397849462365,0.0030369989722507707,0.030746299342105262,0.016897668393782386,0.0018905660377358492,0.003,0.0029828767123287673,0.003193548387096774,0.022233041575492347,0.004666598150051387,0.07081113801452785,0.09409090909090916,0.2833333333333333,0.0046,0.004629452054794521,0.004948387096774194
1693146586,3.1011620793716403,8.551561079750183,0.9149538132860384,0.3788440262901415,9.574524030772354,3.94246525342302,0.3046609743176805,0.8271654890431567,0.8685725176532098,1.1059105648074774,0,0.2955050772371817,2.3994434650077845,2.6189104983453437,1.0461269912343034,208646144,82681856,10977280,424951808,107839488,330510336,42606592,21512192,283656192,93450240,4136960,2899968,300617728,18096128,48369664,62,28,74,10,10,2,10,98,0,0,0,0,0,0.009971769134253449,0.003037735849056604,0.030898556231003037,0.016806872037914693,0.001932384341637011,0.003,0.0029899497487437185,0.0032021145807720683,0.022218209562563578,0.004667924528301887,0.07127173913043477,0.07227272727272775,0.2264285714285737,0.0046,0.004635510887772193,0.004963806245389723
1693146587,3.1011620793716403,8.551561079750183,0.9149538132860384,0.442290615013883,9.574524030772354,3.94246525342302,0.3046609743176805,0.8271654890431567,0.8685725176532098,1.1706304687000517,0,0.2955050772371817,2.3994434650077845,2.6189104983453437,1.0461269912343034,208646144,82681856,10977280,424951808,107839488,330510336,42606592,21512192,283656192,93450240,4136960,2899968,300617728,18096128,48369664,26,16,46,6,10,2,6,40,0,0,0,0,0,0.009971769134253449,0.003037735849056604,0.030898556231003037,0.016806872037914693,0.001932384341637011,0.003,0.0029899497487437185,0.0032123021022579805,0.022218209562563578,0.004667924528301887,0.07127173913043477,0.07227272727272775,0.2264285714285737,0.0046,0.004635510887772193,0.004982143784064366
