time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,payment_error,queue-master_error,shipping_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693220631,2.8614167011276734,48.57541017005008,0.9676473224307943,0.3271870243632531,9.262658903883704,2.9565449134800534,0.21205153707052476,0.48759840827861356,0.3991220785451798,0.5691172292814277,0,0.2840122434478999,0.3152612001568883,2.4094431683053896,1.1363568091042306,219488256,143269888,12410880,424984576,110215168,330264576,74723328,21659648,301776896,92987392,4694016,2920448,297447424,18509824,122007552,16.881,14,42,6,8,2,8,44,0,0,0,0,0,0,0.0349183168214888,0.0029782411604714417,0.036502574002574006,0.017421875,0.0011269841269841265,0.0002696078431372549,0.002778761061946903,0.002670955379140432,0.09876020300523547,0.004604351767905712,0.08495543672014262,0.04256410256410253,0.004276190476190476,0.00048529411764705886,0.004555752212389381,0.004677853818779085
1693220632,2.8614167011276734,47.96033174226545,0.9676473224307943,0.320566842846744,9.262658903883704,2.9565449134800534,0.21205153707052482,0.48759840827861356,0.3991220785451798,0.5804437717677403,0,0.22703340213188716,0.27468795942225277,2.4094431683053896,1.1363568091042306,219488256,143421440,12410880,424984576,110215168,330264576,74723328,21659648,301776896,92987392,4694016,2920448,297447424,18509824,122007552,28.04,14,44,10,8,2,10,52,0,0,0,0,0,0,0.03520959213914108,0.0029783328769282715,0.03636660143509458,0.017501281639265346,0.00048820329112936263,0.00026785714285714287,0.002768482469831627,0.002665966471093963,0.09881599979714985,0.004604394021740619,0.08482944344703773,0.04298428167459544,0.0042306455645114505,0.00048214285714285715,0.004553696493966326,0.004675701480343136
1693220633,2.4172331607912207,47.96033174226545,0.9795585845923863,0.31394666133023497,9.262658903883704,2.9565449134800534,0.21205153707052482,0.5063657133053101,0.3991220785451798,0.6795925491787593,0,0.23176521161874664,0.2694336060863046,2.465512322099229,1.1363568091042306,219488256,143421440,12410880,424984576,110215168,330264576,74723328,21663744,301776896,92987392,4694016,2920448,297447424,18509824,122007552,36.08,20,46,16,14,2,18,112,0,0,0,0,0,0,0.035209521916275126,0.0029836405782597965,0.03636660143509458,0.01750119348870644,0.0004884837138911796,0.00026785714285714287,0.0027531646837548524,0.0026657770418840434,0.09881593946069071,0.004605519431666706,0.08482944344703768,0.04298411978258192,0.004231158294859475,0.00048214285714285715,0.00455063293675097,0.004675658032908568
1693220634,2.466372405595531,47.96033174226545,0.9795585845923863,0.408290159640524,9.262658903883704,2.9565449134800534,0.21205153707052482,0.5214668367795865,0.3991220785451798,0.6795925491787593,0,0.23649702110560603,0.2641792527503565,2.465512322099229,1.1363568091042306,219488256,143421440,12410880,424984576,110215168,330264576,74723328,21663744,301776896,92987392,4694016,2920448,297447424,18509824,122007552,42,6,48,14,10,2,12,68,0,0,0,0,0,0,0.03549330548809079,0.00298363576231029,0.03636660143509458,0.017501381648160296,0.00047372053898325154,0.00026785714285714287,0.0027679593778762307,0.002659840059818193,0.0990571246131291,0.004605517639225039,0.08482944344703773,0.04321656345484943,0.004201867611462026,0.0004821428571428572,0.004553591875575247,0.004673575489698815
1693220635,2.5155116503998416,47.96033174226545,0.9795585845923863,0.408290159640524,9.262658903883704,2.9565449134800534,0.22949023132360016,0.5214668367795865,0.3991220785451798,0.6795925491787593,0,0.24122883059246544,0.2589248994144084,2.465512322099229,1.1363568091042306,219488256,143421440,12410880,424984576,110215168,330264576,74797056,21663744,301776896,92987392,4694016,2920448,297447424,18509824,122007552,30,14,40,6,8,2,8,58,0,0,0,0,0,0,0.035492832172086465,0.002983636685572158,0.03636660143509458,0.01750122052609576,0.0004743059845606518,0.0002678571428571429,0.002767968548156399,0.0026598891052975497,0.09905687568702105,0.004605517982852613,0.08482944344703773,0.04321629784814714,0.004203081982447904,0.0004821428571428572,0.004553593709631279,0.0046735885244713945
1693220636,2.5093201055544982,47.96033174226545,0.9795585845923863,0.408290159640524,9.262658903883704,2.9565449134800534,0.23833928098626567,0.5214668367795865,0.3991220785451798,0.6795925491787593,0,0.2839085692115658,0.4173265663581626,2.465512322099229,1.1085063860293114,219488256,143421440,12410880,424984576,110215168,330264576,74797056,21663744,301776896,92987392,4694016,2920448,297451520,18509824,122007552,34,10,50,18,18,2,20,108,0,0,0,0,0,0,0.035489510489510497,0.0029835466179159048,0.03636660143509458,0.0175,0.0004743150684931506,0.0002644230769230769,0.0027679999999999996,0.0026559318909778113,0.0990551181102362,0.0046054844606946985,0.0848294434470377,0.04321428571428573,0.0042031007751937985,0.00047596153846153844,0.0045536,0.0046693766927714524
1693220637,2.460180860750188,47.96033174226545,0.9795585845923863,0.408290159640524,9.262658903883704,2.2841987454521004,0.23833928098626567,0.5214668367795865,0.3991220785451798,0.6795925491787593,0,0.2839085692115658,0.4173265663581626,2.465512322099229,1.1085063860293114,219488256,143421440,12410880,424984576,110215168,330424320,74797056,21663744,301776896,92987392,4694016,2920448,297451520,18509824,122007552,30,16,60,10,10,2,10,78,0,0,0,0,0,0,0.035596921129258365,0.002983621474067334,0.03643721386527142,0.017603591160220994,0.000441860465116279,0.0002631578947368421,0.002758333333333333,0.0026592274504924854,0.09989173293778685,0.0046054595086442215,0.08561511423550087,0.0434943181818182,0.004078787878787878,0.0004736842105263158,0.004551666666666666,0.004667593003097068
1693220638,2.8839674486491242,45.77414829277606,0.9795585845923863,0.408290159640524,9.262658903883704,2.691981616222885,0.23833928098626567,0.5214668367795865,0.3991220785451798,0.6795925491787593,0,0.23886765765852258,0.4173265663581626,2.465512322099229,1.1085063860293114,219492352,143421440,12410880,424984576,110215168,330424320,74797056,21663744,301776896,92987392,4694016,2920448,297451520,18509824,122007552,60,26,58,6,8,2,10,76,0,0,0,0,0,0,0.03559854446145162,0.0029836512261580384,0.03643721386527142,0.017603591160220994,0.000441860465116279,0.0002631578947368421,0.0027333333333333333,0.0026594956241892975,0.09989247253231556,0.004605449591280655,0.08561511423550087,0.0434943181818182,0.004078787878787878,0.0004736842105263158,0.004546666666666667,0.004667656391162735
1693220639,2.8839674486491242,45.77414829277606,0.9795585845923863,0.408290159640524,9.177075961690772,2.691981616222885,0.23833928098626567,0.5214668367795865,0.3991220785451798,0.6795925491787593,0,0.2341358481716632,0.4173265663581626,2.1275864637741733,1.142755248595719,219492352,143421440,12410880,424984576,110215168,330424320,74797056,21663744,301776896,92987392,4694016,2920448,297451520,18509824,122245120,34,16,46,18,12,2,18,96,0,0,0,0,0,0,0.035360632275111076,0.0029836512261580384,0.03643721386527142,0.017762096774193548,0.00042838541666666665,0.0002631578947368421,0.00275593220338983,0.0026646156502483738,0.0997366996993373,0.004605449591280655,0.08561511423550087,0.043951612903225794,0.004039416058394161,0.0004736842105263158,0.004551186440677967,0.004668714335741456
1693220640,2.8839674486491242,45.77414829277607,0.9795585845923863,0.408290159640524,9.177075961690772,2.691981616222885,0.23833928098626567,0.5214668367795865,0.3991220785451798,0.6795925491787593,0,0.28971449652778186,0.4527855416477571,2.086494591739186,1.142755248595719,219492352,143421440,12410880,424984576,110215168,330424320,74797056,21663744,301776896,92987392,4694016,2920448,297451520,18509824,122245120,54,16,70,26,18,2,24,135.556,0,0,0,0,0,0,0.035360632275111076,0.0029836512261580384,0.03643721386527142,0.017762096774193548,0.00042838541666666665,0.0002631578947368421,0.00275593220338983,0.00266462413515794,0.0997366996993373,0.004605449591280655,0.08561511423550087,0.043951612903225794,0.004039416058394161,0.0004736842105263158,0.004551186440677967,0.0046687163391965925
