time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,payment_error,queue-master_error,shipping_error,carts_latency,catalogue_latency,front-end_latency,orders_latency,payment_latency,queue-master_latency,shipping_latency,user_latency
1693144682,0.6772913914763882,0.4888768140791938,0.9385552573047591,1.0,0.6516692673970754,0.5206830376737867,0.8614670592307435,1.0,0.2878518030452514,0.7785882578312361,0.0,0.9340135494133103,0.30057230255345346,0.842325265699745,0.8933165312128629,0.0,0.0,0.0,1.0,0.7165217391304345,0.15987460815045618,0.0,0.9795814190913731,0.7676056338027852,0.0,0,1.0,0.0,0.0,0.0,0.34210526315789475,0.16666666666666666,0.19607843137254902,0.5384615384615384,0.5384615384615384,0.3988326848249027,0.5,0.4897959183673469,0,0,0,0,0,0,0.04587116764583558,0.5015510134704416,1.0,1.0,1.0,0.9964322120285324,0.8955311662031441,0.07789902151388944
1693144683,0.6772913914763882,0.4888768140791938,0.9385552573047591,1.0,0.6516692673970754,0.5206830376737867,0.8614670592307435,1.0,0.2878518030452514,0.8222044954029764,0.0,0.9340135494133103,0.30057230255345346,0.842325265699745,0.8933165312128629,0.0,0.0,0.0,1.0,0.7165217391304345,0.15987460815045618,0.0,0.9795814190913731,0.7676056338027852,0.0,0,1.0,0.0,0.0,0.0,0.5789473684210527,0.3333333333333333,0.39215686274509803,0.3076923076923077,0.15384615384615385,0.4221789883268482,0.4166666666666667,0.4489795918367347,0,0,0,0,0,0,0.04587116764583558,0.5015510134704416,1.0,1.0,1.0,1.0,0.8599912140235587,0.09527638958844772
1693144684,0.6772913914763882,0.4888768140791938,0.9385552573047591,1.0,0.6516692673970754,0.5206830376737867,0.8614670592307435,1.0,0.2878518030452514,0.8222044954029764,0.0,0.9340135494133103,0.30057230255345346,0.842325265699745,0.8933165312128629,0.0,0.0,0.0,1.0,0.7165217391304345,0.15987460815045618,0.0,0.9795814190913731,0.7676056338027852,0.0,0,1.0,0.0,0.0,0.0,0.23684210526315788,0.16666666666666666,0.11764705882352941,0.6153846153846154,0.8461538461538461,0.3988326848249027,0.6666666666666666,0.4387755102040816,0,0,0,0,0,0,0.04587116764583558,0.5015510134704416,1.0,1.0,1.0,1.0,0.8599912140235587,0.0
1693144685,0.3627118831713648,0.4888768140791938,0.9475359989717964,1.0,0.6516692673970754,0.5206830376737867,0.8614670592307435,1.0,0.272214004518333,0.8222044954029764,0.0,0.9340135494133103,0.30057230255345346,0.8728859243560338,0.8933165312128629,0.0,0.0,0.0,1.0,0.7165217391304345,0.15987460815045618,0.0,0.9795814190913731,0.7746478873239189,0.0,0,1.0,0.0,0.005464480874317665,0.0,0.3684210526315789,0.16666666666666666,0.17647058823529413,0.6923076923076923,0.6923076923076923,0.3988326848249027,0.8333333333333334,0.5510204081632653,0,0,0,0,0,0,0.04587116764583558,0.5015510134704416,1.0,1.0,1.0,1.0,0.8599912140235587,0.0
1693144686,0.32580745361167823,0.4888768140791938,0.9475359989717964,0.8947438733910689,0.6516692673970754,0.5206830376737867,0.8614670592307435,1.0,0.272214004518333,0.8462529174998759,0.0,0.40534622257644815,0.30057230255345346,0.8728859243560338,0.8933165312128629,0.0,0.0,0.0,0.0,0.7165217391304345,0.15987460815045618,0.0,0.9795814190913731,0.7746478873239189,0.030303030303060568,0,1.0,0.0,0.005464480874317665,0.0,0.15789473684210525,0.08333333333333333,0.1568627450980392,0.38461538461538464,0.6923076923076923,0.3988326848249027,0.3333333333333333,0.19387755102040816,0,0,0,0,0,0,0.02389770334239685,0.5654456308377617,1.0,1.0,1.0,1.0,0.8599912140235587,0.0
1693144687,0.2889030240519928,0.4888768140791938,0.9475359989717964,0.3849813753775051,0.6516692673970754,0.5206830376737867,0.8614670592307435,1.0,0.272214004518333,0.8462529174998759,0.0,0.3425951501314711,0.30057230255345346,0.8728859243560338,0.533767494639664,0.0,0.0,0.0,0.0,0.7165217391304345,0.15987460815045618,0.0,0.9795814190913731,0.7746478873239189,0.030303030303060568,0,1.0,0.0,0.005464480874317665,0.0,0.23684210526315788,0.3333333333333333,0.37254901960784315,0.15384615384615385,0.38461538461538464,0.3988326848249027,0.16666666666666666,0.14285714285714285,0,0,0,0,0,0,0.0,0.5103274248385546,0.9064594400261479,0.390904530077664,0.6894480135129478,0.9964322120285324,0.2981272776669118,0.07717021631481619
1693144688,0.0,0.4888768140791938,0.9475359989717964,0.4295151362421975,0.6516692673970754,0.5206830376737867,0.8614670592307435,1.0,0.272214004518333,0.8462529174998759,0.0,0.2798440776864928,0.30057230255345346,0.8728859243560338,0.9334476299443943,0.0,0.0,0.0,0.0,0.7165217391304345,0.15987460815045618,0.0,0.9795814190913731,0.7746478873239189,0.030303030303060568,0,1.0,0.0,0.005464480874317665,0.05891126025354283,0.15789473684210525,0.16666666666666666,0.058823529411764705,0.15384615384615385,0.15384615384615385,0.3988326848249027,0.25,0.20408163265306123,0,0,0,0,0,0,0.0,0.5103274248385546,0.9064594400261479,0.390904530077664,0.6894480135129478,1.0,0.29307986931035,0.16769725231013646
1693144689,0.0,0.4888768140791938,0.9475359989717964,0.4740488971068899,0.3079113542617396,0.5206830376737867,0.9146196533517621,1.0,0.272214004518333,0.8462529174998759,0.0,0.21709300524151615,0.30057230255345346,0.8728859243560338,0.9334476299443943,0.0,0.0,0.0,0.0,0.7165217391304345,0.15987460815045618,0.06065318818040571,0.9795814190913731,0.7746478873239189,0.030303030303060568,0,1.0,0.0,0.005464480874317665,0.05891126025354283,0.3614868421052632,0.37375,0.3491470588235294,0.16538461538461538,0.28884615384615386,0.3988326848249027,0.1996666666666667,0.24382142857142855,0,0,0,0,0,0,0.00017420201493571446,0.5103274248385546,0.9064594400261479,0.39104568020949526,0.689448136099796,1.0,0.2931034886921357,0.15748439563523398
1693144690,0.700486163624881,0.4960217547349221,0.9475359989717964,0.8405246375559233,0.27002543227625064,0.5206830376737867,0.9146196533517621,0.7498753704192879,0.272214004518333,0.8462529174998759,0.0,0.8263172323240494,0.30057230255345346,0.8728859243560338,0.9334476299443943,0.052013422818785814,0.0,0.0,0.0,0.7165217391304345,0.15987460815045618,0.06065318818040571,0.9795814190913731,0.7746478873239189,0.030303030303060568,0,0.0,0.0,0.005464480874317665,0.05891126025354283,0.3684210526315789,0.16666666666666666,0.1568627450980392,0.38461538461538464,0.3076923076923077,0.3988326848249027,0.3333333333333333,0.45918367346938777,0,0,0,0,0,0,0.0,0.5103274248385546,0.9064594400261479,0.390904530077664,0.6894480135129478,1.0,0.29307986931035,0.15704594796136925
1693144691,0.7004861636248798,0.4960217547349221,0.9475359989717964,0.8405246375559233,0.3123177626496779,0.37415652690753004,0.9146196533517621,0.7221975315810993,0.3004602427602063,0.8462529174998759,0.0,0.8458065300037728,0.28212007307447656,0.8728859243560338,0.9334476299443943,0.052013422818785814,0.0,0.0,0.0,0.7165217391304345,0.15987460815045618,0.06065318818040571,0.9795814190913731,0.7746478873239189,0.030303030303060568,0,0.0,0.0,0.005464480874317665,0.05891126025354283,0.3684210526315789,0.3333333333333333,0.35294117647058826,0.23076923076923078,0.3076923076923077,0.3988326848249027,0.16666666666666666,0.23469387755102042,0,0,0,0,0,0,0.013013711925165357,0.582013742904205,0.9064594400261479,0.390904530077664,0.6894480135129478,1.0,0.29307986931035,0.15704594796136925
