time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,catalogue_error,orders_error,queue-master_error,shipping_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693115414,14.014210248002707,2.7943892060620774,0.8174154888773929,0.44569936872374327,10.41727661116671,6.185710479716089,0.23354947058038916,0.6363323791173502,2.8452699674371495,1.0380770919455213,0,0.29434504747273804,4.319890244466017,2.173661343849639,1.0320869188025743,205946880,71864320,10469376,424882176,108265472,319946752,37654528,10760192,296755200,93507584,4706304,3072000,304517120,12701696,36102144,34,34,72,10,10,2,10,52,0,,0,0,0,0.008223689141336364,0.003052941176470588,0.030619747899159663,0.017311977715877436,0.0015117647058823529,0.0030166666666666666,0.00328952380952381,0.003228295819935691,0.021781386093377528,0.004695294117647059,0.07121590909090908,0.04648148148148145,0.004330588235294117,0.00463,0.006152173913043481,0.00512378640776699
1693115415,14.014210248002707,2.7943892060620774,0.8174154888773927,0.44569936872374327,10.41727661116671,6.310745054419277,0.20428162222222235,0.6363323791173502,2.8452699674371495,1.0558911185900295,0,0.25103135611199273,4.319890244466017,2.219192105861969,1.0320869188025743,205946880,71864320,10469376,424882176,108265472,319946752,37654528,10760192,296755200,93519872,4706304,3072000,304517120,12701696,36102144,18,16,44,2,2,2,2,26,0,,0,0,0,0.0082161851349994,0.0030624999999999997,0.030761199696279422,0.01738188976377953,0.0015117647058823529,0.0030166666666666666,0.00328952380952381,0.0032144613871126415,0.02163776616123513,0.0047125,0.07088541666666666,0.04557017543859651,0.004330588235294117,0.00463,0.006152173913043481,0.004986030496802755
1693115416,14.014210248002707,2.7943892060620774,0.8174154888773927,0.44569936872374327,10.41727661116671,6.435779629122464,0.20428162222222235,0.6363323791173502,2.8452699674371495,1.0558911185900295,0,0.24612560532078043,4.319890244466017,2.264722867874299,1.0320869188025743,205946880,71864320,10469376,424882176,108265472,319946752,37654528,10760192,296755200,93519872,4706304,3072000,304517120,12701696,36102144,34,12,44,6,6,2,6,56,0,,0,0,0,0.008216185143773558,0.0030624999999999997,0.030761199696279422,0.01738188976377953,0.0015117647058823529,0.0030166666666666666,0.00328952380952381,0.0032144613871126415,0.021637766198415967,0.0047125,0.07088541666666666,0.04557017543859651,0.004330588235294117,0.00463,0.006152173913043481,0.004986030496802755
1693115417,14.014210248002707,2.8544498411947563,0.8174154888773927,0.44569936872374327,10.41727661116671,7.502074482191247,0.20428162222222235,0.5237417045180234,2.8452699674371495,1.0558911185900295,0,0.24121985452956815,4.319890244466017,2.3102536298866294,1.0587185043920486,205946880,72081408,10469376,424882176,108265472,319946752,37654528,10760192,296755200,93519872,4706304,3072000,304517120,12701696,36102144,28,26,50,16,16,2,16,64,0,,0,0,0,0.008221331044847123,0.0030624999999999997,0.030761199696279422,0.017479674796747963,0.0014553846153846151,0.0030166666666666666,0.003267961165048543,0.0032072898586660054,0.02167147455116696,0.0047125,0.07088541666666666,0.0464423076923077,0.0043206153846153846,0.00463,0.005841269841269838,0.00497312174559881
1693115418,12.095548079965738,2.9047366503572,0.8174154888773927,0.44569936872374327,8.635965715976415,7.502074482191247,0.20428162222222235,0.5344125622651993,2.4448140265757456,0.8817286087444779,0,0.2363141037383559,4.319890244466017,2.3557843918989594,1.0587185043920486,205946880,72081408,10469376,424882176,108265472,319946752,37654528,10760192,296755200,93519872,4706304,3072000,304517120,12701696,36102144,56,14,46,16,16,2,16,116,0,,0,0,0,0.008208301277735789,0.003058601134215501,0.030761199696279422,0.01734455958549223,0.0015662650602409638,0.0030166666666666666,0.0032857142857142855,0.003215392180968773,0.02162300058348295,0.004705482041587901,0.07088541666666666,0.0452777777777778,0.004332530120481927,0.00463,0.006090909090909087,0.004987705925743791
1693115419,11.861977909165693,2.9047366503572,0.8174154888773927,0.44569936872374327,10.348252964334886,7.502074482191247,0.2872625763747455,0.5450834200123755,2.3973928604517933,0.8994405229447086,0.00004972946751744646,0.23140835294714357,4.319890244466017,2.4013151539112894,1.0587185043920486,205946880,72081408,10469376,424882176,109916160,319946752,37761024,10760192,296755200,93519872,4706304,3072000,304517120,12701696,36102144,18,22,58,4,4,2,4,50,0,,0,0,0,0.008154167373251298,0.0030571992110453644,0.03085548172757475,0.017240691489361706,0.0014912280701754389,0.0030166666666666666,0.003270168855534709,0.0032229265715795034,0.02139381828007518,0.004702958579881656,0.07091533180778033,0.04475490196078434,0.004316959064327486,0.00463,0.005871212121212118,0.005014705882352946
1693115420,12.311159739385223,2.9047366503572,0.8174154888773927,0.4510185057282241,10.348252964334886,7.502074482191247,0.2872625763747455,0.5557542777595517,2.3499716943278406,0.9171524371449391,0.00004972946751744646,0.30646964596889803,3.761156442796791,2.731845720739799,1.060111625508509,206508032,72081408,10469376,424882176,109916160,319946752,37761024,10760192,296755200,93519872,4706304,3076096,304353280,12701696,36274176,34,18,60,16,16,2,16,96,0,,0,0,0,0.00813764291996482,0.0030587677725118483,0.03079710144927536,0.01730769230769231,0.0014912280701754389,0.0030166666666666666,0.003270168855534709,0.0032117647058823528,0.02113471971066908,0.0047057819905213264,0.07093360995850624,0.04425925925925928,0.004316959064327486,0.00463,0.005871212121212118,0.0049811764705882345
1693115421,12.311159739385223,2.9047366503572,0.8174154888773927,0.4510185057282241,10.348252964334886,7.502074482191247,0.2872625763747455,0.6402514648305655,2.3025505282038883,1.0627148520138336,0.00004972946751744646,0.30646964596889803,3.761156442796791,2.389431625026071,1.060111625508509,206508032,72081408,10469376,424882176,109916160,319946752,37761024,10760192,296755200,93519872,4706304,3076096,304353280,12701696,36274176,26,16,40,8,6,2,6,56,0,,0,0,0,0.008137832441850824,0.003058753342124129,0.030797101449275364,0.017308118863301723,0.0014903704153950608,0.0030166666666666666,0.0032701771106966922,0.003211764613936969,0.021134986171703615,0.004705756015823432,0.07093360995850627,0.04425972416017417,0.004316799283504182,0.00463,0.005871333777453849,0.004981176305086545
1693115422,12.311159739385223,2.9047366503572,0.6574948993504022,0.4510185057282241,10.348252964334886,7.502074482191247,0.2872625763747455,0.6402514648305655,2.533304972157352,1.0627148520138336,0.00004972946751744646,0.30646964596889803,2.2219650309136685,2.343900863013741,1.060111625508509,206508032,72081408,10469376,424882176,109916160,319946752,37761024,10760192,297586688,93519872,4706304,3076096,304353280,12701696,36274176,14,18,38,8,8,2,10,30,0,,0,0,0,0.008145592163846839,0.0030587677725118483,0.03079710144927536,0.01718586387434555,0.0014390243902439028,0.0030166666666666666,0.0032567049808429117,0.0032055335968379445,0.021171195652173912,0.0047057819905213264,0.07093360995850624,0.0399074074074074,0.004307317073170731,0.00463,0.00565322580645161,0.0049699604743083
1693115423,12.311159739385223,2.9047366503572,0.6713195799999128,0.4510185057282241,10.348252964334886,7.502074482191247,0.2872625763747455,0.6402514648305655,2.533304972157352,1.0627148520138336,0.00004972946751744646,0.30646964596889803,2.2219650309136685,2.2983701010014115,1.060111625508509,206508032,72081408,10469376,424882176,109916160,319946752,37761024,10760192,297586688,93519872,4706304,3076096,304353280,12701696,36274176,68,28,72,20,20,2,20,150,0,,0,0,0,0.008132133450395084,0.0030586565752128664,0.03079710144927536,0.017032418952618453,0.0015535714285714285,0.0030166666666666666,0.0032684824902723736,0.0032133072407045005,0.02112386980108499,0.00470558183538316,0.07093360995850624,0.03872727272727272,0.004329761904761904,0.00463,0.00582307692307692,0.004983953033268101
