time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,queue-master_error,shipping_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693114290,3.2199129397577892,7.381091460243576,11.983086603310857,0.4422489034704721,9.798496914608686,3.0884897563833884,0.3150220552633782,0.621346166084871,1.0713051661646922,1.0409891237575613,0,0.28045370634463096,2.6271171089399368,2.6777060862650757,1.020270877344256,211222528,83914752,16003072,427991040,108974080,326856704,41336832,11776000,291463168,91348992,4657152,3059712,298291200,18116608,49065984,52,20,52,12,12,2,10,78,0,0,0,0,0,0,0.010644355644355641,0.003601645123384254,0.03161010260457774,0.0160551948051948,0.0013988269794721407,0.0030168067226890756,0.0030237288135593217,0.003255083179297597,0.023183816183816184,0.26749999999999996,0.08010141987829614,0.024016233766233762,0.004289149560117302,0.004630252100840336,0.004691525423728814,0.005624999999999994
1693114291,3.2199129397577892,7.2359234542336255,0.742606683558033,0.4422489034704721,9.798496914608686,3.0884897563833884,0.3150220552633782,0.621346166084871,1.0713051661646922,1.0409891237575613,0.000038032352250229166,0.28978035710766376,2.6271171089399368,2.6777060862650757,1.020270877344256,211222528,83914752,16003072,427991040,108974080,326856704,41336832,11776000,291463168,91348992,4657152,2928640,298291200,18116608,49065984,28,12,44,16,18,2,18,114,0,0,0,0,0,0,0.010644355644355641,0.003601645123384254,0.03161010260457774,0.0160551948051948,0.0013988269794721407,0.0030168067226890756,0.0030237288135593217,0.0032440357852882703,0.023183816183816184,0.26749999999999996,0.08010141987829614,0.024016233766233762,0.004289149560117302,0.004630252100840336,0.004691525423728814,0.005433114035087721
1693114292,3.2199129397577892,7.374988223871205,0.757626488316312,0.4511104746592873,9.798496914608686,3.0884897563833884,0.3150220552633782,0.621346166084871,1.0713051661646922,0.7863836476065909,0.00005454873646209764,0.28978035710766376,2.6271171089399368,2.6777060862650757,1.020270877344256,211222528,83914752,16003072,427991040,108974080,326856704,41336832,11776000,291463168,91348992,4657152,2928640,298291200,18116608,49065984,24,8,32,6,4,2,4,24,0,0,0,0,0,0,0.010644355644355641,0.003601645123384254,0.03161010260457774,0.0160551948051948,0.0013988269794721407,0.0030168067226890756,0.0030237288135593217,0.0032440357852882703,0.023183816183816184,0.26749999999999996,0.08010141987829614,0.024016233766233762,0.004289149560117302,0.004630252100840336,0.004691525423728814,0.005433114035087721
1693114293,3.2199129397577892,9.30658056981779,0.7726462930745909,0.4511104746592873,9.798496914608686,3.0884897563833884,0.3150220552633782,0.621346166084871,0.9909791789417285,0.8029897267941473,0.00005454873646209764,0.28978035710766376,2.1564823218552465,2.6777060862650757,1.020270877344256,211222528,84520960,16003072,427991040,108974080,326856704,41336832,11776000,291463168,91348992,4657152,2928640,298291200,18116608,49065984,40,16,48,10,8,2,8,54,0,0,0,0,0,0,0.010644355644355641,0.003601645123384254,0.03161010260457774,0.0160551948051948,0.0013988269794721407,0.0030168067226890756,0.0030237288135593217,0.0032440357852882703,0.023183816183816184,0.26749999999999996,0.08010141987829614,0.024016233766233762,0.004289149560117302,0.004630252100840336,0.004691525423728814,0.005433114035087721
1693114294,3.3771447565035526,9.30658056981779,0.9011882854967348,0.4511104746592873,9.798496914608686,2.813334306149658,0.3150220552633782,0.6232244409187064,0.9909791789417285,0.8195958059817035,0.00005454873646209764,0.28978035710766376,2.1564823218552465,2.6777060862650757,1.0499344760856453,211288064,84520960,16003072,427991040,108974080,326856704,41336832,11784192,291463168,91348992,4657152,2928640,298291200,18116608,49377280,34,22,52,14,14,2,14,100,0,0,0,0,0,0,0.010830745341614906,0.0034290657439446366,0.03126456876456876,0.01596325167037862,0.0013364485981308411,0.0030168067226890756,0.0030176366843033503,0.0032214950918701226,0.022836956521739133,0.14369565217391236,0.07632505175983434,0.02367371937639198,0.0042772585669781935,0.004630252100840336,0.004682539682539682,0.004998691165366221
1693114295,3.3771447565035526,9.30658056981779,0.9011882854967348,0.4511104746592873,10.020581351013162,2.813334306149658,0.3150220552633782,0.6232244409187064,0.9909791789417285,0.8362018851692595,0.00005454873646209764,0.28978035710766376,2.1564823218552465,2.6777060862650757,1.0499344760856453,211288064,84520960,16003072,427991040,108130304,326856704,41336832,11784192,291463168,91348992,4657152,2928640,298291200,18116608,49377280,26,20,40,10,10,2,10,68,0,0,0,0,0,0,0.010525525525525527,0.0034069640914036995,0.03126456876456876,0.015872340425531914,0.0014176470588235293,0.0030168067226890756,0.0030136054421768706,0.0032323180175529162,0.022789789789789787,0.10913043478260732,0.07632505175983434,0.023634042553191487,0.004292941176470588,0.004630252100840336,0.004673469387755103,0.005205128205128195
1693114296,3.3771447565035526,9.30658056981779,0.9011882854967348,0.4511104746592873,10.020581351013162,2.813334306149658,0.3150220552633782,0.6232244409187064,0.9909791789417285,0.8528079643568159,0.00005454873646209764,0.28978035710766376,1.8344083736309222,2.6612535039409053,1.0499344760856453,211288064,84520960,16003072,427991040,108130304,326856704,41336832,11784192,291463168,91348992,4657152,2928640,298291200,18116608,49377280,34,18,44,10,8,2,8,56,0,0,0,0,0,0,0.010525525525525527,0.0034069640914036995,0.03126456876456876,0.015872340425531914,0.0014176470588235293,0.0030168067226890756,0.0030136054421768706,0.0032223317722455008,0.022789789789789787,0.10913043478260732,0.07632505175983434,0.023634042553191487,0.004292941176470588,0.004630252100840336,0.004673469387755103,0.005002325581395335
1693114297,3.3771447565035526,9.30658056981779,0.9011882854967348,0.4511104746592873,10.020581351013162,2.813334306149658,0.3150220552633782,0.6232244409187064,0.9909791789417285,0.7463657644444449,0.00005454873646209764,0.28978035710766376,1.8344083736309222,2.716907700762675,1.0499344760856453,211288064,84520960,16003072,427991040,108130304,326856704,41336832,11784192,291463168,91348992,4657152,2928640,298291200,18128896,49377280,30,26,60,6,6,2,6,44,0,0,0,0,0,0,0.010525525525525527,0.0034069640914036995,0.03126456876456876,0.015872340425531914,0.0014176470588235293,0.0030168067226890756,0.0030136054421768706,0.0032223317722455008,0.022789789789789787,0.10913043478260732,0.07632505175983434,0.023634042553191487,0.004292941176470588,0.004630252100840336,0.004673469387755103,0.005002325581395335
1693114298,3.3771447565035526,9.30658056981779,0.9011882854967348,0.4514293241866114,10.210655443159911,2.813334306149658,0.3150220552633782,0.6232244409187064,0.9909791789417285,0.8567103929658916,0.00005454873646209764,0.28978035710766376,1.8344083736309222,2.716907700762675,1.0376526487612887,211288064,84520960,16003072,427991040,108130304,326856704,41336832,11784192,291463168,91348992,4657152,2928640,298291200,18128896,49377280,20,12,38,12,14,2,14,90,0,0,0,0,0,0,0.010525525525525527,0.0034069640914036995,0.03126456876456876,0.015872340425531914,0.0014176470588235293,0.0030168067226890756,0.0030136054421768706,0.0032223317722455008,0.022789789789789787,0.10913043478260732,0.07632505175983434,0.023634042553191487,0.004292941176470588,0.004630252100840336,0.004673469387755103,0.005002325581395335
1693114299,3.3771447565035526,9.30658056981779,0.9011882854967348,0.4514293241866114,10.210655443159911,2.813334306149658,0.3184347708986198,0.6232244409187064,0.9909791789417285,0.8401043137783353,0.00005454873646209764,0.28978035710766376,1.8344083736309222,2.716907700762675,1.0376526487612887,211288064,84520960,16003072,427991040,108130304,326856704,41418752,11784192,291463168,91348992,4657152,2928640,298291200,18128896,49377280,38,14,46,12,16,2,14,86,0,0,0,0,0,0,0.010734536082474225,0.0031699895068205666,0.03090648854961832,0.015924507658643325,0.001396341463414634,0.0030168067226890756,0.00301048951048951,0.0032135584802582572,0.022728350515463916,0.00490598111227702,0.07207291666666665,0.023552516411378555,0.004289024390243902,0.004630252100840336,0.004669230769230768,0.004984405264464863
